Code,Description,Taxon,Domain
BA, B ash,, Brown ash
CH, B cherry,, Blk cherry
LO, B oak,, Blk oak
BW, B walnut,, Blk walnut
BU, B??????nut,, White walnut
FI, Balsam fir,, Fir
LI, Bass,, Linden
 cherry-leaved, bot,,  
CO, Cotton,,Poplar
CR, Crab,,Other hardwood
HA, H??????berry,,Hackberry
HI, Hick,, H??????ory
HM, House,,No tree
SU, Hrd maple,, Rock maple
XB, ie irregular township,,No data
XA, ie pages missing from notebook,,No data
IR, Iron,, I??????wood
JO, J oak Jk oak,, Yellow oak
JP, Jack pine,, J pine
RP, N pine,, Yellow pine
RM, R maple,,Maple
RO, R oak,,Oak
RA, Red ash,,Ash
JU, Red cedar,,Cedar/juniper
BD, rock (large stone used as a witness tree),,No tree
OW, roze willow,,Willow
SO, S oak,,Oak
UO, Shrub oak,,Oak
WE, W elm,,Elm
WM, W maple,, Wht maple
WO, W oak,, Wht oak
wo, W oak,, Wht oak
WP, W pine Wht pine,,Pine
wp, W pine Wht pine,,Pine
WS, W spruce,, Wht spruce
WT, W thorn,,Other hardwood
WU, Water beach,,Ironwood
 White birch, Wht birch,,WB
YB, Y birch,,Birch
yb, Y birch,,Birch
ybrc, Y birch,,Birch
"	AL","	Alder",Alnus,Nmich
"	AP","	Apple",Malus,Nmich
"	AH","	Ash",Fraxinus,Nmich
"	AS","	Aspen",Populus,Nmich
"	BG","	Balm of Gilead",Populus balsamifera,Nmich
"	BF","	Balsam Fir",Abies,Nmich
"	LI","	Basswood",Tilia,Nmich
"	BE","	Beech",Fagus,Nmich
"	BI","	Birch",Betula,Nmich
"	BA","	Black Ash",Fraxinus nigra,Nmich
"	BB","	Black Birch",Betula lenta,Nmich
"	BM","	Black Gum",Nyssa,Nmich
"	BL","	Blue Beech",Carpinus,Nmich
"	BX","	Boxelder",Acer negundo,Nmich
"	BD","	Boxwood",Acer negundo,Nmich
"	BO","	Bur Oak",Quercus macrocarpa,Nmich
"	BU","	Butternut",Juglans cinerea,Nmich
"	BT","	Buttonwood",Platanus,Nmich
"	CE","	Cedar",Cuppressaceae,Nmich
"	CH","	Cherry",Prunus,Nmich
"	CO","	Cottonwood",Populus deltoides,Nmich
"	CR","	Crab Apple",Malus,Nmich
"	DA","	Dead Ash",Dead,Nmich
"	DB","	Dead Birch",Dead,Nmich
"	DK","	Dead Black Ash",Dead,Nmich
"	DC","	Dead Cedar",Dead,Nmich
"	DF","	Dead Fir",Dead,Nmich
"	DH","	Dead Hemlock",Dead,Nmich
"	DM","	Dead Maple",Dead,Nmich
"	DP","	Dead Pine",Dead,Nmich
"	DR","	Dead Red Pine",Dead,Nmich
"	DU","	Dead Sugar",Dead,Nmich
"	DT","	Dead Tamarack",Dead,Nmich
"	DW","	Dogwood",Cornus,Nmich
"	EL","	Elm",Ulmus,Nmich
"	GB","	Gooseberry",Other,Nmich
"	HA","	Hackberry",Celtis,Nmich
"	HE","	Hemlock",Tsuga,Nmich
