"ESD","ID","Abies","Acer","Betula","Carya","Fagus","Fraxinus","Larix","Picea","Pinus","PopLirio","Quercus","Thuja","Tilia","Tsuga","Ulmus","Basswood","Elm","Hemlock","Hickory","Oak","Pine","Tamarack","Whitecedar","p","m","e","s","d","Twh","Tw","Tc","Tcl","Tg","Tg30","Bhs","carbdepth","clay150","floodfrq","histic","humic","humicdepth","hydric","ksatdepth","OM150","pH50","rockdepth","sand150","sand50","spodic","watertable","elev","slope","aspect","slope500","shade","popen","nopen","solar","LRU","spptotal","ES"
"111BA Dry Loam Plains",2423.953125,6.25000029685907e-06,0.146027563067037,0.00316888881570776,0.286290400108555,0.202531430419185,0.193167596764397,0.0142836131126387,0.000125000005937181,0.00920096505865331,0.103402043387177,0.802025449927896,9.67708347161533e-05,0.113837380595214,0.00108270833538882,0.174547221613466,0.0451519032903889,0.10503075838642,0.000218750006752089,0.25047644281517,0.56739816818299,5.62500026717316e-05,0.0170365210601631,6.25000029685907e-06,889.427772521973,0.592923431657255,609.839603424072,0.373247431591153,0.0865048681298504,28.1048829555511,21.9527506828308,-4.71580268442631,-8.90838488191366,17.467715471983,17.4619286060333,0,96.9155358672142,20.3062575384974,0,0.00520833337213844,0.0187114200089127,22.4400071278214,0.0308641981100664,188.294533938169,1.17521745245904,6.30983354151249,250,50.9378535747528,49.2575562596321,0,222.408658742905,283.26154589653,0.0411081413403735,3.09203268121928,0.0334415552206337,0.787917816080153,1.5485728867352,1.54117752984166,3.84619176387787,NA,0.985375043744853,NA
"111BA Dry Loam Slopes",1971.5,0,0.0439999997615814,0.0036000000545755,0.307513333857059,0.0615233322605491,0.143176667392254,0.075673334300518,0.00680000020656735,0.0346966665238142,0.134563330560923,0.89276334643364,0.000650000001769513,0.056192122399807,0.010216667316854,0.0746333356946707,0.000600000028498471,0,0.00020000000949949,0.00260000000707805,0.99779999256134,0.00180000008549541,0.0222000005887821,0,867.470581054688,0.589094787836075,605.170959472656,0.372226417064667,0.100059691816568,28.0182590484619,21.7981109619141,-4.87766671180725,-9.14730930328369,17.3115978240967,17.2883768081665,0,111.67211151123,19.0648064613342,0,0.222222223877907,0,41.284631729126,0.222222223877907,246.5,15.9606322646141,6.19671010971069,250,48.4004154205322,45.4179420471191,0,194.444442749023,287.727920532227,0.191651001572609,2.57217663526535,0.0701148398220539,0.907493829727173,1.49985492229462,1.45319205522537,4.04190182685852,NA,1.02519999328069,NA
"111BA Euic Moist Sand Plains",4514,0,0.261399984359741,0.0251466669142246,0.206213340163231,0.373706668615341,0.342973351478577,0.0163066666573286,0.000400000018998981,0.00166666670702398,0.151940003037453,0.574968874454498,0,0.180353328585625,0.00240000011399388,0.37310665845871,0,0.00120000005699694,0,0.969200015068054,0,0,0,0,938.095581054688,0.592245399951935,645.868347167969,0.369587600231171,0.084354043006897,29.2250461578369,22.5377750396729,-4.35976552963257,-8.74505615234375,17.9406089782715,17.9263114929199,0,56.8888893127441,5.20814847946167,0,0,0.222222223877907,23.4444446563721,0.222222223877907,250,0.692000031471252,6.6777777671814,250,88.4224472045898,80.2384414672852,0,38.8888893127441,247.280120849609,0.0172710623592138,3.09523105621338,0.0203679334372282,0.799149870872498,1.55836534500122,1.55844962596893,3.8830292224884,NA,0.970400015125051,NA
"111BA Euic Muck Plains",2423.09090909091,3.63636380908164e-05,0.169707617468455,0.0284475276077336,0.109193875539032,0.0908835266124118,0.345805682919242,0.500504425980828,0.000145454552363266,0.00882013965482739,0.282974518158219,0.571219409053976,0.000912121232514354,0.0788680944930423,0.000374545459635556,0.352861380035227,0.00167272724634544,0.020700664492324,0,0.0793818207245997,0.00127272731201215,0.000290909104726531,0.886399997228926,7.27272761816328e-05,935.37763560902,0.599540883844549,624.513633034446,0.373285426334901,0.0615152530372143,28.4795785383745,22.3262289220637,-4.52929113127969,-8.77442273226651,17.8212138089267,17.8493007313121,0,203.413330078125,9.14311625740745,0,0.838383848016912,0.030303031206131,146.035249189897,0.868686876513741,213.402766834606,54.3999306071888,6.1504486690868,250,18.51925758882,9.31586265563965,0,25.4518055915833,274.921831997958,0.0178020207888701,3.61704442717812,0.0248131403191523,0.77883645621213,1.54279765215787,1.56435721570795,3.83942812139338,NA,0.989791573385115,NA
"111BA Euic Wet Sand Plains",4111,0,0.177246659994125,0.0082999998703599,0.0956266671419144,0.151393339037895,0.433779984712601,0.030799999833107,0,0.00113333330955356,0.206300005316734,0.840953350067139,0,0.222913324832916,0,0.264339983463287,0,0,0,0.956799983978271,0.00240000011399388,0,0.061599999666214,0,913.777587890625,0.592833697795868,627.594970703125,0.366672694683075,0.0778761804103851,28.5151309967041,22.1854438781738,-4.38447189331055,-8.71407508850098,17.6877765655518,17.7091865539551,0,206.444442749023,5.7481484413147,0,0,0.555555582046509,15.277777671814,0.555555582046509,206.444442749023,0.794444441795349,6.61111116409302,250,86.0899963378906,84.2111129760742,0,58.3333320617676,225.819885253906,0.020906675606966,4.34183740615845,0.0207502227276564,0.778549671173096,1.54555487632751,1.56324243545532,3.85985350608826,NA,1.02079998375848,NA
"111BA Moist Floodplain Plains",1754.77777777778,0,0.318443112903171,0.0166878305479056,0.269314085443815,0.435792586869664,0.518363386392593,0.0299666669323213,0,0.000491851879309656,0.149804242783123,0.480667041407691,0.000490370374690327,0.266189912954966,0.000418518540552921,0.516126188966963,0.000977777798349659,0.996265351772308,0,0.0190666667703125,0,0,0.000488888886239794,0,934.09332953559,0.596312310960558,632.161668565538,0.371131718158722,0.0708208775354756,28.694214714898,22.3138942718506,-4.44128688176473,-8.75084919399685,17.8140606350369,17.8361392550998,0,84.9320884280735,23.9135814242893,0.629629633492894,0,0.209876544773579,29.8896280924479,0.0987654336624675,149.703400823805,1.05110375086466,6.81757508383857,250,38.0871375401815,34.8187012142605,0,116.794720543755,254.469373914931,0.0335728435052766,2.58493073781331,0.0235348594271474,0.786463777224223,1.54019169012705,1.55602931976318,3.82387566566467,NA,1.01679868522721,NA
"111BA Moist Loam Plains",2541.42857142857,1.20300757593678e-05,0.381826536211752,0.00657808526832246,0.389920268123759,0.586910722245063,0.473361021874094,0.021904222337228,0.000242005009554271,0.00190494611642246,0.1252380778901,0.480812159864078,0.000283557889042982,0.230232537156881,0.000614385977273639,0.391907407545057,0.094154989275087,0.620222699944642,7.81954924358909e-05,0.229210553526672,0.0224448328722212,2.70676704585776e-05,0.0237624059602814,2.10526325788937e-05,935.623620054776,0.596509888656157,632.480678013393,0.368065026021542,0.0653546917168213,28.6657648875301,22.4360780500828,-4.40591599170427,-8.66413737418956,17.9493840870104,17.9475938036926,0,82.5377648145633,31.4579852398177,0,0.00668337521024216,0.0685045957229191,20.9373069589299,0.0797243119406521,49.1356623961513,1.14637507795167,6.2120612859726,250,28.1459853451951,29.079568314373,0,66.5608965077795,268.433624038123,0.0215897068952007,3.09743171078818,0.0211019582829361,0.787679344639742,1.55831587583499,1.55352480608718,3.85050696358645,NA,0.989921797374377,NA
"111BA Rich Sand Plains",2874.14285714286,0,0.0845670141944928,0.00763619045028463,0.177337888894337,0.101927619560489,0.0944457088730165,0.0157052380132622,0.000914285757711955,0.0321554761113865,0.0692670753757868,0.917890484843935,0.000939523817838303,0.0586791204155556,0.00878353598194995,0.111843512060919,8.57142897854958e-05,0.00130973087756761,8.57142897854958e-05,0.2095428542234,0.786537950924997,0.000142857149642493,0.00157142854628286,0.000114285719713994,876.579136439732,0.589130307946886,610.868504115513,0.370170269693647,0.0965678066547428,28.1751886095319,22.0082480566842,-4.65772720745632,-8.82667779922485,17.5083208084106,17.506913457598,0,173.470499856131,7.95263235909598,0,0,0,23.8086838722229,0,244.535461425781,0.600815272756985,6.11599060467311,250,85.1309569222586,83.7983518327985,0,243.777439662388,275.297583443778,0.0409107318014971,3.14140164852142,0.0320659231926714,0.790051796606609,1.54746134792055,1.54262150185449,3.86005413532257,NA,0.999390536021175,NA
"111BA Wet Floodplain Plains",3458,0,0.362235475331545,0.0190066669601947,0.328565642237663,0.300433322787285,0.620122879743576,0.0694955554790795,0,0.00217833337956108,0.240198332816362,0.448409996926785,0.00356000009924173,0.213068610057235,0.000100000004749745,0.577031679451466,0.000699999975040555,0.995000004768372,0,0.00410000002011657,0.00020000000949949,0,0.00160000007599592,0,943.873336791992,0.595980301499367,639.28239440918,0.365394778549671,0.0632246830500662,28.7959461212158,22.5728096961975,-4.21480274200439,-8.43233346939087,18.1186475753784,18.1418914794922,0,181.833332061768,28.3065738677979,0.805555559694767,0,0.805555559694767,51.3472213745117,0.91666667163372,108.174600601196,1.86512961983681,6.94672214984894,250,27.3006296157837,23.1216661930084,0,8.33333301544189,246.110809326172,0.0158701227046549,3.2207704782486,0.0305202440358698,0.791354790329933,1.54630434513092,1.56255674362183,3.86833679676056,NA,1.00160000484902,NA
"111BA Wet Loam Plains",2768.19444444444,1.11111116388606e-05,0.365073655111094,0.00831356896216878,0.320600804148449,0.382839519530535,0.570764385991626,0.105311791929934,0.000244444449587415,0.00116888890099492,0.292470718630486,0.503832038078043,9.11111128516495e-05,0.199122117625342,0.000179259262949927,0.563509168310298,0.00105767807690427,0.857813494195903,6.66666698331634e-05,0.00945311544071754,0.02458888882797,5.55555581943029e-05,0.111544444756065,0,941.99390496148,0.597411175568899,634.408299763997,0.367438787387477,0.0610405526434382,28.67225906584,22.4618822203742,-4.40192920631833,-8.66969876819187,17.9980934990777,18.0071095890469,0,103.439598825243,30.7087926864624,0,0.0277777781916989,0.657407424516148,32.4052742322286,0.719135819209947,86.8716224299537,3.94820044686397,6.51410202185313,250,27.581622256173,25.4051469431983,0,32.7324661148919,268.683710734049,0.0200922657709776,3.00546458363533,0.0193946465798136,0.788523130946689,1.55230485399564,1.56101619866159,3.85470723443561,NA,1.00457984352559,NA
