"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"97A moist typic loamy plains","BEECH-SUGAR MAPLE FOREST","97A","moist","typic","loamy","plains",987,79.1,0,22.1,0,0,0.3,1,0,0,0,0,0,0,52.5,5.2,0,0,0,0,1.9,0,0.2,0.2,0.2,1,2.5,0,0,0,0,6.1,1,5.8
"97A moist typic loamy floodplain","BEECH-SUGAR MAPLE FOREST","97A","moist","typic","loamy","floodplain",114,63,0,16.7,0,0,0,0.9,0,0,0,0,0,0,42.1,10.5,0,0,0,0,1.8,0,1.8,2.6,0,0.9,4.4,0,0,0.9,0,8.8,1.8,7
"97A dry typic loamy plains","BEECH-SUGAR MAPLE FOREST","97A","dry","typic","loamy","plains",832,71.2,0,21.6,0,0,0.4,0.6,0,0,0,0,0.2,0,53.2,4.8,0.5,0.4,0,0.1,1.9,0,0.2,0,2.2,0.2,4.3,0,0,0.2,0,4.7,0.7,3.6
"97A moist euic sandy plains","BEECH-SUGAR MAPLE FOREST","97A","moist","euic","sandy","plains",256,45.6,0,12.9,0,0,2,0.8,0,0,0,0,0,0,55.5,5.5,0,0,0,0.4,1.6,0,0.4,0,1.6,0,2,0,0,0.4,0,4.7,5.1,7.4
"96B moist dysic sandy plains","MIXED CONIFER SWAMP","96B","moist","dysic","sandy","plains",116,10.1,0,10.3,0,0,0.9,0,0,0,0,0,0,0,18.1,5.2,0,6,0,0,0,1.7,19.8,0,0.9,0,1.7,0,1.7,0,4.3,0.9,26.7,1.7
"96B dry spodic sandy plains","WHITE PINE-RED PINE FOREST","96B","dry","spodic","sandy","plains",223,10.6,0,7.2,0,0,0.9,0,0,0,0,0,0,0,14.3,0.4,0,0,0,0,0,0.9,52.9,0,1.8,0,15.2,0,0,0,2.2,0,3.1,0.9
"96B dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","rich","sandy","plains",627,60.7,0,13.4,0,0.2,1.3,0,0,0,0,0,0,0,63.5,1.3,0,0.2,0,0,1.4,0.8,1.9,0,0.6,0,0.8,0,0,0,0.5,0.6,11,2.6
"96B dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","spodic","sandy","plains",906,43,0,12.1,0,0,1.5,0,0,0,0,0,0,0,63.8,0.4,0,0,0,0,0.2,0.4,2.9,0,0.2,0.1,1.1,0,0,0,1.5,1.5,12.7,1.3
"96B dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","sandy","plains",728,14.4,0,15.7,0,0,0.5,0,0,0,0,0,0,0,60.7,0.5,0,0,0,0,0.8,0,3.2,0,0.1,0,1.2,0,0,0,0.4,0.8,15,1
"96B dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","loamy","plains",665,58.4,0,13.1,0,0,1.2,0,0,0,0,0,0,0,66.6,2.3,0,0.6,0,0,1.5,0.6,1.2,0,0,0,0.6,0,0,0,0.3,1.4,9.3,1.4
"96B moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","dysic","sandy","plains",447,39.1,0,9.4,0,0,1.8,0,0,0,0,0,0,0,52.8,2,0,0,0,0,0,0,3.4,0,0.7,0,0.9,0,0,0,1.8,0.2,26.6,0.4
