"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Pinus","Tsuga","Fagus","Acer","Tilia","Carya","Quercus","Ulmus","Fraxinus","Larix","Thuja","Picea","Abies","PopLirio","Betula","Aesculus","Alnus","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Juglans","Morus","NyssaLiquidambar","OstryaCarpinus","Platanus","Prunus","RobiniaGleditsia","Salix","Sassafras","rarea"
"97A moist typic clayey plains","BEECH-SUGAR MAPLE FOREST","97A","moist","typic","clayey","plains",583,83.2,0.2,1.2,49.2,23.8,6.2,1.5,2.9,6.3,5,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.1,0.3,0.9,0,0,0,86.8
"97A moist euic mucky plains","BEECH-SUGAR MAPLE FOREST","97A","moist","euic","mucky","plains",8,29.6,0,0,62.5,25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"97A dry typic loamy slopes","BEECH-SUGAR MAPLE FOREST","97A","dry","typic","loamy","slopes",28,47.5,3.6,3.6,50,10.7,3.6,0,21.4,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6
"97A moist typic alluvial floodplain","BEECH-SUGAR MAPLE FOREST","97A","moist","typic","alluvial","floodplain",160,55,1.2,1.9,47.5,14.4,8.1,1.2,3.1,6.2,9.4,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.6,1.9,1.9,0.6,0,0,0.6,54.6
"97A dry typic loamy plains","BEECH-SUGAR MAPLE FOREST","97A","dry","typic","loamy","plains",581,70.3,0.3,1,54.2,19.6,4.6,0.5,4.5,3.6,5.3,0.5,0,0,0,2.9,0.3,0,0,0,0,0,0,0,0,0.5,0,0.2,1.2,0,0.2,0,0,0.3,78.1
"97B dry typic sandy plains","OAK-HICKORY FOREST","97B","dry","typic","sandy","plains",2,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"97A moist typic loamy plains","BEECH-SUGAR MAPLE FOREST","97A","moist","typic","loamy","plains",402,73.9,0.2,0.7,57.5,19.7,6,0.2,1.7,5,5.2,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.2,0,0,0,76.8
"97A moist euic sandy plains","BEECH-SUGAR MAPLE FOREST","97A","moist","euic","sandy","plains",256,45.6,0.4,5.1,55.5,12.9,4.7,0.8,2,7.4,5.5,0,0,0,0,1.6,2,0,0,0,0,0,0,0,0,0,0,0.4,1.6,0,0,0,0,0.4,50.3
"96B moist dysic sandy plains","MIXED CONIFER SWAMP","96B","moist","dysic","sandy","plains",116,10.2,19.8,26.7,18.1,10.3,0.9,0,1.7,1.7,5.2,6,4.3,1.7,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,10.8
"96B moist typic clayey plains","LAKE/RIVER","96B","moist","typic","clayey","plains",8,2.7,0,12.5,37.5,0,0,0,25,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7
"96B dry spodic sandy slopes","WHITE PINE-RED PINE FOREST","96B","dry","spodic","sandy","slopes",38,22.9,60.5,2.6,5.3,10.5,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
"96B dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","rich","sandy","plains",597,59.9,1.5,11.6,64.5,12.6,0.7,0,0.8,2.3,1.3,0.2,0.5,0.5,0,0.7,1.2,0,0.2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,59
"96B dry typic sandy slopes","WHITE PINE-RED PINE FOREST","96B","dry","typic","sandy","slopes",48,15.7,50,10.4,10.4,8.3,0,0,14.6,0,0,0,2.1,0,0,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5
"96B dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","spodic","sandy","plains",862,43.1,2.8,13.1,63.7,11.9,1.5,0,1.2,1.3,0.5,0,1.6,0.5,0,0.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,37.3
"96B dry typic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","sandy","plains",682,14,3.2,15.8,59.8,15.7,0.9,0,1.3,1,0.6,0,0.4,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,15.5
"96B dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","loamy","plains",446,52.3,1.6,8.7,69.3,12.8,0.7,0,0.9,0.9,1.8,0.9,0.2,0.9,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,54.8
"96B moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","dysic","sandy","plains",445,39,3.4,26.7,52.8,9.2,0.2,0,0.9,0.4,2,0,1.8,0,0,0.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2
"96B dry typic clayey plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","typic","clayey","plains",209,82.9,0.5,10,60.8,13.9,2.9,0,0,2.4,3.3,0,0.5,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,76
"96B moist euic mucky plains","MIXED CONIFER SWAMP","96B","moist","euic","mucky","plains",29,28.4,31,3.4,17.2,10.3,0,0,3.4,0,13.8,3.4,6.9,6.9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8
"96B moist typic loamy plains","MIXED CONIFER SWAMP","96B","moist","typic","loamy","plains",38,7.2,13.2,13.2,21.1,13.2,0,0,0,0,2.6,15.8,10.5,0,0,0,5.3,0,0,0,0,0,0,2.6,0,0,0,0,0,0,2.6,0,0,0,5.3
"96B moist euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","euic","sandy","plains",161,34.3,3.7,21.7,38.5,17.4,1.2,0,0,1.9,8.1,0,0.6,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0,34.3
"96B moist dysic sandy plains","CEDAR SWAMP","96B","moist","dysic","sandy","plains",58,5.1,10.3,12.1,8.6,0,0,0,0,0,6.9,5.2,51.7,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3
"96B wet typic alluvial floodplain","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","typic","alluvial","floodplain",42,13.4,9.5,9.5,42.9,16.7,0,0,0,9.5,7.1,0,2.4,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
"96B wet euic mucky plains","CEDAR SWAMP","96B","wet","euic","mucky","plains",127,37,0.8,15.7,3.1,5.5,1.6,0,0.8,1.6,15,7.1,42.5,0,0.8,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1
"96B moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","typic","loamy","plains",316,59.6,0.9,18.7,60.4,11.4,0.9,0,0.6,1.6,2.5,0.6,0.6,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,58.2
"96B wet typic loamy plains","CEDAR SWAMP","96B","wet","typic","loamy","plains",103,45.6,1.9,12.6,1.9,3.9,1.9,0,0,0,4.9,11.7,54.4,1,1,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9
"96B dry typic loamy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","typic","loamy","plains",179,21,6.7,6.7,61.5,17.3,0,0,2.8,0,2.2,0,0.6,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,19.3
"96B dry rich sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","rich","sandy","plains",182,18.3,12.6,5.5,58.2,13.2,0.5,0,2.2,1.1,2.2,1.1,0.5,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,21.6
"96B moist euic mucky plains","CEDAR SWAMP","96B","moist","euic","mucky","plains",14,13.7,0,14.3,14.3,0,0,0,0,0,21.4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
"96B dry typic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","typic","sandy","plains",647,13.3,25.5,6,43.4,10.2,0,0,10.5,0.3,0.6,0.2,0.9,0.3,0,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0,0,0,13
"96B dry spodic sandy plains","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","spodic","sandy","plains",406,20.3,25.9,5.7,42.9,14.3,0.2,0,8.1,0.7,0.7,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,22.2
"96B dry typic loamy slopes","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","typic","loamy","slopes",18,28.1,22.2,5.6,44.4,11.1,5.6,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5
"96B dry typic sandy plains","WHITE PINE-RED PINE FOREST","96B","dry","typic","sandy","plains",825,16.9,69.6,1.3,5,2.7,0,0,19.9,0,0,0,0.7,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
"96B dry super spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","dry","super spodic","sandy","plains",110,82.1,3.6,17.3,60,11.8,0.9,0,0.9,0.9,2.7,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2
"96B moist typic clayey plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","moist","typic","clayey","plains",190,64.8,0,14.2,49.5,15.3,2.6,0,0,4.7,5.8,1.6,0.5,2.6,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0.5,0,63.7
"96B dry typic alluvial floodplain","CEDAR SWAMP","96B","dry","typic","alluvial","floodplain",10,3.8,10,20,0,10,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
"96B dry spodic sandy plains","SHRUB SWAMP/EMERGENT MARSH","96B","dry","spodic","sandy","plains",8,0.4,37.5,12.5,12.5,0,0,0,0,0,0,25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"96B dry typic sandy plains","HEMLOCK-WHITE PINE FOREST","96B","dry","typic","sandy","plains",149,3.1,28.9,22.1,24.2,4.7,0,0,14.8,0,0,0.7,1.3,0,0,2.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"96B dry spodic sandy slopes","WHITE PINE-MIXED HARDWOOD FOREST","96B","dry","spodic","sandy","slopes",44,26.5,15.9,9.1,61.4,6.8,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2
"96B dry typic loamy plains","WHITE PINE-RED PINE FOREST","96B","dry","typic","loamy","plains",29,3.4,51.7,0,3.4,3.4,0,0,20.7,0,0,6.9,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
"96B wet typic clayey plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","96B","wet","typic","clayey","plains",30,18.4,0,23.3,26.7,20,0,0,0,13.3,3.3,0,10,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"96B wet typic alluvial floodplain","MIXED CONIFER SWAMP","96B","wet","typic","alluvial","floodplain",58,18.5,6.9,12.1,8.6,6.9,6.9,0,1.7,6.9,19,10.3,19,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3
