dataset,tname,Level2,Species
NMI,BF,Abies,Abies
NMI,FI,Abies,Abies
NMI,fir,Abies,Abies
SMI,bals,Abies,Abies
SMI,fir,Abies,Abies
WI,FI,Abies,Abies
IL,3-pronged maple,Acer,Acer
IL,another maple,Acer,Acer
IL,forked maple,Acer,Acer
IL,mapel,Acer,Acer
IL,Maple,Acer,Acer
IL,mapo,Acer,Acer
IL,mapole,Acer,Acer
IL,mayple,Acer,Acer
IL,maypole,Acer,Acer
IL,maypoll,Acer,Acer
IL,s maple,Acer,Acer
IL,s. maple,Acer,Acer
IL,soft maple,Acer,Acer
IL,w maple,Acer,Acer
IN,Double maple,Acer,Acer
IN,Forked Maple,Acer,Acer
IN,Maple,Acer,Acer
IN,Maypole,Acer,Acer
IN,s maple,Acer,Acer
IN,s. maple,Acer,Acer
IN,soft maple,Acer,Acer
IN,swp maple,Acer,Acer
IN,w maple,Acer,Acer
IN,W. Maple,Acer,Acer
IN,white maple,Acer,Acer
NMI,MA,Acer,Acer
NMI,map,Acer,Acer
NMI,mapl,Acer,Acer
OH,maple,Acer,Acer
OH,soft maple,Acer,Acer
OH,white maple,Acer,Acer
SEMI,Maple,Acer,Acer
SEMI,swamp maple,Acer,Acer
SMI,MAP,Acer,Acer
SMI,MAPL,Acer,Acer
SMI,maple,Acer,Acer
SMI,SMAPL,Acer,Acer
SMI,w.mapl,Acer,Acer
SMI,wm,Acer,Acer
SMI,wmap,Acer,Acer
SMI,wmapl,Acer,Acer
WI,MA,Acer,Acer
WI,SL,Acer,Acer
WI,WM,Acer,Acer
IL,b elder,Acer,Acer negundo
IL,box alder,Acer,Acer negundo
IL,box elder,Acer,Acer negundo
IL,boxelder,Acer,Acer negundo
IL,elder,Acer,Acer negundo
IN,b elder,Acer,Acer negundo
IN,Box Elder,Acer,Acer negundo
IN,Boxelder,Acer,Acer negundo
IN,boxwood,Acer,Acer negundo
IN,Elder,Acer,Acer negundo
NMI,BX,Acer,Acer negundo
OH,box elder,Acer,Acer negundo
OH,box elder maple,Acer,Acer negundo
SMI,box,Acer,Acer negundo
SMI,boxwd,Acer,Acer negundo
SMI,bxwd,Acer,Acer negundo
WI,BX,Acer,Acer negundo
NMI,RM,Acer,Acer rubra
SMI,rm,Acer,Acer rubra
WI,RM,Acer,Acer rubra
OH,silver maple,Acer,Acer saccharinum
WI,RV,Acer,Acer saccharinum
IL,hard maple,Acer,Acer saccharum
IL,shugar,Acer,Acer saccharum
IL,shugar tree,Acer,Acer saccharum
IL,shugartree,Acer,Acer saccharum
IL,shugurtree,Acer,Acer saccharum
IL,sug,Acer,Acer saccharum
IL,sug maple,Acer,Acer saccharum
IL,sug tree,Acer,Acer saccharum
IL,sug. tree,Acer,Acer saccharum
IL,sugar,Acer,Acer saccharum
IL,sugar maple,Acer,Acer saccharum
IL,sugar tree,Acer,Acer saccharum
IL,sugartree,Acer,Acer saccharum
IL,sugr,Acer,Acer saccharum
IL,sugtree,Acer,Acer saccharum
IL,white sugar tree,Acer,Acer saccharum
IN,sug,Acer,Acer saccharum
IN,sug tree,Acer,Acer saccharum
IN,Sug.,Acer,Acer saccharum
IN,sugar,Acer,Acer saccharum
IN,Sugar Maple,Acer,Acer saccharum
IN,sugar tree,Acer,Acer saccharum
IN,sugartree,Acer,Acer saccharum
